document_id,set,summary
19dd268e42d372d73072c40bc3b8d1c46e07a3a2,valid,"Joe Buck, a young Texan working as a dishwasher, quits his job and heads to New York City to become a male prostitute. Initially unsuccessful, he manages to bed a middle-aged woman, Cass, in her posh Park Avenue apartment. The encounter ends badly as he gives her money after she is insulted and throws a tantrum when he requests payment.

Joe meets Enrico Salvatore ""Ratso"" Rizzo, a con man with a limp who takes $20 from him by ostensibly introducing him to a pimp. After discovering that the man is actually an unhinged homosexual religious fanatic, Joe flees in pursuit of Ratso but cannot find him. Joe spends his days wandering the city and sitting in his hotel room. Soon broke, he is locked out of his hotel room and his belongings are impounded.

Joe tries to make money by receiving oral sex from a young man in a movie theater, but learns after the act that the young man has no money. Joe threatens him and asks for his watch, but eventually lets him go unharmed. The next day, Joe spots Ratso and angrily shakes him down. Ratso offers to share the apartment in a condemned building where he is squatting. Joe reluctantly accepts his offer, and they begin a ""business relationship"" as hustlers. As they develop a bond, Ratso's health grows steadily worse.

In a flashback, Joe's grandmother raises him after his mother abandons him. He also has a tragic relationship with Annie, a mentally unstable girl. The film has successive flashbacks to an experience in which he and Annie were jumped while naked in a parked car and both raped by a gang of cowboys. The viewer gains more information about the experience as the flashbacks accumulate.

Ratso tells Joe his father was an illiterate Italian immigrant shoeshiner whose job led to a bad back and lung damage from long-term exposure to shoe polish. Ratso learned shoeshining from his father but considers it degrading and generally refuses to do it, although he does shine Joe's cowboy boots to help him attract clients. Ratso harbors hopes of moving to Miami, shown in daydreams in which he and Joe frolic carefree on a beach and are surrounded by dozens of adoring middle-aged women.

A Warhol-like silent artsy filmmaker/photographer (Hansel McAlbertson) and an outgoing passionate female artist (Gretel McAlbertson) approach Joe in a diner and take his Polaroid photograph and hand him a flyer inviting him to a Warhol-esque happening/party, that fleetingly incorporates some of the Warhol Superstars, including Viva, Isabelle Collin Dufresne (aka Ultra Violet), Taylor Mead, Joe Dallesandro and the Warhol-related filmmaker Paul Morrissey.[6] Joe and Ratso attend, but Ratso's poor health and hygiene attract unwanted attention from several guests. Joe mistakes a joint for a cigarette and starts to hallucinate after taking several long puffs, along with some ""uppers"" he is offered. He leaves the party with Shirley, a socialite who agrees to pay him $20 for spending the night, but Joe cannot perform sexually. They play Scribbage together and the resulting wordplay leads Shirley to suggest that Joe may be gay; suddenly he is able to perform. The next morning, she sets up her friend as Joe's next client and it appears that his career is finally taking off.

When Joe returns home, Ratso is bedridden and feverish. He refuses medical help and begs Joe to put him on a bus to Florida. Desperate, Joe picks up a man in an amusement arcade and robs him during a violent encounter in the man's hotel room where Joe brutally beats the man (it is implied that Joe may have killed the man). Joe buys bus tickets with the money so he and Ratso can board a bus to Florida. During the trip, Ratso's health deteriorates further as he becomes incontinent and sweat-drenched.

At a rest stop, Joe buys new clothing for Ratso and himself and discards his cowboy outfit. On the bus, Joe muses that there must be easier ways to earn a living than hustling, and tells Ratso he plans to get a regular job in Florida. When Ratso fails to respond, Joe realizes that he has died. The driver tells Joe there is nothing to do but continue to Miami and asks Joe to close Ratso's eyelids. Joe, with tears welling in his eyes, sits with his arm around his dead friend, alone."
5328457f649b51410906d4d23b915f5147bee4ed,test,"Marie Clifton is set to inherit two beautiful diamonds, called the ""mother and daughter"", which her late mother bestowed to her. Marie's step-father, Jay Clifton, challenges the will, claiming that Marie isn't ready for the responsibility, but actually wants to take the diamonds for himself. At a sexual education seminar at Marie's school, physician Dr. Chad Johnson and probation officer Kristen Richards discuss sex crimes, and Richards reveals she was a victim of an anonymous rapist many years before.

At Marie's swim-meet, Jay encounters towel girl Elena Sandoval, and invites her to Marie's eighteenth birthday party. Elena attends the party but is assaulted by Marie, who says that Elena is not welcome. Jay comforts Elena, and brings her to the construction site of one of his buildings for privacy. Later, Elena alleges that Jay raped her at the site. Detective Michael Morrison is placed on the case, as is Richards, who is Elena's probation officer. Chad is placed in charge of documenting Elena's injuries, and testifies to the court that Elena was raped. 

Marie believes that Elena is doing this for money and tells Jay to pay her off. When Jay admits that he's broke, Marie suggests that they sell the diamonds. Jay agrees, and revokes his claim to the will, giving Marie custody of the diamonds so she can sell them off. However, this was a ploy between Elena, Marie and Chad to get the diamonds, and the trio are in a sexual relationship together.

Jay believes that Elena will recant her accusation after being paid off, but at the next court session Elena testifies that Jay also threatened to kill her. Jay is sent to prison, but Richards is now suspicious of Elena's behavior. Richards and Morrison search Elena's trailer and discover she's gathered information about Kristen's rape, using it to form her testimony. Richards and Morrison discuss their suspicions with Jay, and conclude that Marie, Elena and Chad must be working together.

Chad is questioned by Richards and Morrison, and fears they suspect him. He turns on Marie, drugging her and stealing the diamonds. Marie and Elena give chase, following Chad into the woods, where Marie kills him with a tire iron. Marie then meets the diamond buyer Chad set up, but learns that the diamonds are fake. Elena, who is left to deal with Chad's body, is caught by Richards and Morrison.

Richards and Morrison give Elena a task: wear a wire and get Marie to admit she killed Chad, and the charges against Elena will be lessened. Elena goes to Marie and plays along with her plan to get the real diamonds from Jay's safe at the construction site. Throughout, Elena repeatedly tries to get Marie to confess, but is unsuccessful. When Marie and Elena finally get the diamonds from the safe, Elena pulls a gun on her and flees with the diamonds, prompting Marie to chase her with her own gun. Richards and Morrison, who are listening in from nearby, enter the construction site separately. During the hide-and-seek, Richards finds Marie and shoots her in the chest, killing her. Afterward, Elena claims there were no diamonds, and is escorted from the scene by Richards.

At the end it's revealed that Richards and Elena are mother and daughter. Jay was the man that raped Kristen in the past, and Elena is their daughter. During the credits, scenes are shown explaining how they managed to pull their plan off."
fad84dbc3148a338b4a618ec74531d50732b681f,train,"During a martial arts tournament, the American finalist Drew Carson (Reese Madigan) is humiliated by his opponent, ruthless and sadistic kickboxer Trevor Gottitall (Trent Bushey) who pantses him during the match. To add to the insult, Drew's teacher Master Kwan (Kim Chan) confesses that he is not--as he had claimed--a Shaolin monk, and therefore he had not passed on the actual knowledge of Shaolin kung fu to Drew. Determined to learn the actual art to prevent another such situation, Drew departs for China and arrives at the Shaolin Temple. At first, the monks do not let him enter, but with the help of a pretty tea shop waitress, Ashena (Alice Zhang Hung), and an old monk (Henry O) who gives him a decisive advise, he waits outside of the temple for a week, after which he manages to be admitted. The old monk also turns out to be the abbot of the temple, Master San De, and he and his stern taskmaster train Drew and a number of other young apprentices in the ways of the Shaolin.

At first Drew causes much trouble as his American teenage temperament clashes with the tranquility within the temple and with his fellow student, Gao (Daniel Dae Kim), but under the rigorous physical and mental training he both improves his fighting skills and learns the meaning of discipline, humility, and patience. He makes friends with Gao and also manages to pass the two final tests: the Test of Spirituality, and the Test of the Chamber. Accepted as a full-fledged member of the Shaolin Monastery, he accompanies--along with Ashena--a delegation of his fellow students and the abbot to a martial arts tournament in Shanghai.

At the tournament, Drew encounters Trevor once again. Trevor taunts Drew before proceeding with this match against Gao. Gao initially gains the upper hand, but Trevor resorts to his dirty fighting techniques and injures Gao. With Gao pinned against the ropes, Trevor demands a match against the ""American Shaolin"". Drew rises, but sits down again, refusing to fight Trevor on the principle of non-violence and selflessness. Infuriated, Trevor continues to beat up Gao and hurls him out of the ring. Encouraged by Master San De, Drew finally enters the ring to fight Trevor. Trevor immediately used dirty tricks again, but Drew prevails and even offers his hand to the defeated Trevor. The crowd voices their support for Shaolin, and Master San De declares that ""this is the future of Shaolin""."
f246970289decf6f7a6bd44088d16b118aeaae8d,test,"On January 5, 1900, four friends arrive for a dinner at the London home of their inventor friend George, but he is absent. He arrives suddenly, bedraggled and exhausted, and tells what has happened to him.

At their earlier dinner on New Year's Eve, George says that time is ""the fourth dimension"". He shows David Filby, Dr. Philip Hillyer, Anthony Bridewell, and Walter Kemp a small model time machine and has one of them press a tiny lever on the model. The device disappears, but his friends are skeptical.

George has a full-size time machine which he uses to travel ahead to September 13, 1917. He meets Filby's son, James, who tells him of Filby's death in a war. He then stops on June 19, 1940, during the Blitz, finding himself in the midst of ""a new war"". George resumes his journey and stops on August 18, 1966. People hurry into a fallout shelter amid the blare of air raid sirens. An elderly James Filby urges George to take cover. Moments later, a nuclear satellite explodes, causing a volcanic eruption. George narrowly makes it back to his machine ahead of the approaching lava, which rises, cools, and hardens, trapping him inside, as he travels far into the future. Eventually the lava wears away, revealing a lush, unspoiled landscape.

George stops at October 12, 802,701, near the base of a sphinx. He finds a group of delicate young men and women wearing simple clothing gathered at a stream. One woman, carried off by the current, screams for help, but her companions show no concern. George rescues her. She says her name is Weena and her people are the Eloi; they do not operate machines, work, or read, and know little of history. One of them takes George to a library, but when he tries to read a book, it crumbles to dust. Outraged, he decides to leave, but discovers that his machine has been dragged into the closed sphinx. Weena follows, telling him Morlocks, who only come out at night, are responsible. A hideous Morlock jumps out and tries to drag her away, but is blinded by George's torch.

The next day, Weena shows George domed structures that dot the landscape: air shafts that lead down to the Morlocks' home. She takes him to an ancient museum where ""talking rings"" tell of a war in the distant past between east and west that lasted 326 years. The atmosphere became so contaminated that it could no longer be safely breathed. Another ring describes humanity's struggle for survival; many decided to move underground, while some returned to the surface. George realizes this was the beginning of the speciation that resulted in the Morlocks and Eloi. He starts to climb down a shaft, but stops when sirens emerge from the sphinx and blare. The Eloi, in a trance-like state, head for the now-open doors at the sphinx's base. The sirens stop and the doors close, trapping Weena and others inside.

George enters the caverns and discovers that the Eloi are food for the Morlocks. He finds Weena and fights off the creatures, finally inspiring the Eloi to defend themselves. George sets fires and urges the Eloi to climb back to the surface. He directs them to gather tree branches and drop them down the shafts. The resulting fires cause the caverns to collapse.

The next morning, George finds the sphinx's doors open. His time machine is inside. He enters, the doors close, and he is attacked in the dark by Morlocks. He escapes in his machine, sees a Morlock's body decompose rapidly, realizes he's moving forward in time, reverses direction, and returns to 1900.

After George recounts his story, his friends remain skeptical. He produces a flower Weena gave him, and Filby, an amateur botanist, says it is of no known species. George bids his guests a good evening. Filby leaves, but returns to find George and his time machine gone. His housekeeper notes that nothing is missing except three books that she cannot identify. When the housekeeper wonders if George will ever return, Filby remarks that ""he has all the time in the world""."
a4aef60147a93723b3f6618336ca90d672c25cbc,train,"Nina Sayers is a 28-year-old dancer in a New York City ballet company, which is preparing to open its new season with Tchaikovsky's Swan Lake.  With prima ballerina Beth MacIntyre being forced into retirement, artistic director Thomas Leroy announces he is looking for a new dancer to portray the dual role of the innocent White Swan Odette and the sensual Black Swan Odile. Nina auditions for the role and gives a flawless performance as Odette, but fails to embody Odile.

The following day, Nina asks Thomas to reconsider choosing her to play the role. When he forcibly kisses her, she bites him before running out of his office. Later that day, Nina sees the cast list and discovers, much to her surprise and that of her overprotective mother Erica, she will be portraying the lead. At a gala celebrating the new season, an intoxicated Beth confronts Nina, accusing her of sleeping with Thomas to get the role. The following day, Nina discovers that Beth was hit by a car while walking in the street and Thomas believes she did it on purpose.

During rehearsals, Thomas tells Nina to observe new dancer Lily, whom he describes as possessing an uninhibited quality that Nina lacks. Nina also falls victim to several hallucinations of a doppelganger following her wherever she goes and finds unexplained scratch marks on her back. One night, Nina accepts Lily's invitation to go out for drinks despite Erica's objections.

Over dinner, Lily offers Nina an ecstasy capsule to help her relax. Nina turns it down, but later accepts a drink laced with ecstasy powder. After consuming it, Nina become sexually interested in not only the men at the bar, but Lily as well. The two dance at a nightclub and return to Nina's apartment late. After fighting with her mother, Nina barricades herself in her room and has sex with Lily. The following morning, Nina wakes up alone and realizes she is late for the dress rehearsal. Upon arriving at Lincoln Center, she finds Lily dancing as Odile and confronts her about their night together. When Lily denies that the sexual part of the evening had ever taken place, Nina wonders whether or not their sexual encounter was a hallucination.

After learning that Thomas has made Lily her alternate, Nina's hallucinations grow increasingly strong to the point where her mother tries to prevent her from performing on opening night. Nina forces her way past her mother, shouting, ""I'm the Swan Queen, you're the one who never left the corps!"". She arrives at Lincoln Center only to discover that Lily is indeed set to take over her role. She confronts Thomas, who becomes so impressed by her confidence that he allows her to perform as Odette. During the end of the ballet's second act, Nina becomes distracted by another hallucination, causing the Prince to drop her on stage. She returns to her dressing room and finds Lily preparing to play Odile. When Lily transforms into Nina's evil twin, the two engage in a fight that ends with Nina stabbing the doppelganger with a shard of glass from a mirror that gets smashed, only to reveal that it is actually Lily who has been stabbed. She hides the corpse and returns to the stage, where she loses herself and gives a flawless performance as Odile.

Nina receives a standing ovation from the audience and, after surprising Thomas with a passionate kiss, returns to her dressing room. While changing, Nina hears a knock at the door and opens it to find Lily alive and congratulating her. Realizing the fight never occurred, yet the mirror is still broken, she also realizes that she actually stabbed herself and pulls a shard of glass from her own abdomen.

After dancing the final act, in which Odette attempts to commit suicide by throwing herself off a cliff but instead falls onto a hidden mattress, the theater erupts in thunderous applause while Thomas, Lily, and the rest of the cast all gather to congratulate Nina. They then discover that she is bleeding profusely. Thomas orders some of the dancers to go get help and frantically asks Nina what happened to her. Nina replies to him that her performance was perfect and loses consciousness as the screen slowly fades to blinding white light and the credits roll."
0edf4e67b33906e690dc45a9abae06c34ca3e13a,train,"The film is based on events which began in August 1941.  Nazi Einsatzgruppen (task forces) are sweeping through Eastern Europe, systematically killing Jews. Among the survivors not killed or restricted to ghettoes are the Belarusian Jewish Bielski brothers: Tuvia (Daniel Craig), Zus (Liev Schreiber), Asael and Aron. Their parents are dead, killed by local police under orders from the German occupiers. The brothers flee to the Naliboki Forest, vowing to avenge the deaths of their parents.

The brothers encounter other Jewish escapees hiding in the forest and take them under their protection and leadership. Tuvia kills the local Schutzmannschaft (Auxiliary Police) chief responsible for his parents' deaths. Over the next year, they shelter a growing number of refugees, raiding local farms for food and supplies and moving their camp whenever they are discovered by the collaborationist police. The Bielski brothers stage raids on the Germans and their collaborators. Casualties cause Tuvia to reconsider this approach because of the risk to the hiding Jews. Rivalry between the two eldest brothers, Tuvia and Zus, fuels a disagreement between them about their future; as winter approaches, Zus decides to leave the camp and join a local company of Soviet partisans, while his older brother Tuvia remains with the camp as their leader. An arrangement is made between the two groups in which the Soviet partisans agree to protect the Jewish camp in exchange for supplies.

After a winter of sickness, starvation, attempted mutiny and constant hiding, the camp learns that the Germans are about to attack them in force. The Soviets refuse to help and they evacuate the camp as Luftwaffe Stukas strike. A delaying force stays behind, led by Asael, to slow down the German ground troops. The defence does not last long; only Asael and a camp member named Sofiya survive to rejoin the rest of the group, who, at the edge of the forest, are confronted with a seemingly impassable marsh. They cross the marsh with only one casualty but are immediately attacked by a German platoon supported by a Panzer III tank. Just as all seems lost, the Germans are assaulted from the rear by a partisan force led by Zus, who has deserted the Soviets to rejoin the group.

As the survivors escape into the forest, the film ends as text on the screen states that they lived in the forest for another two years, building a hospital, a nursery, a school, growing to a total of 1,200 Jews. Original photographs of the participants are shown, including Tuvia in his uniform and their fates are described, Asael joined the Soviet Army and was soon killed in action, never getting to see the child he fathered; Tuvia, Zus and Aron survived the war and emigrated to America to form a trucking firm in New York City. The epilogue also states that the Bielski brothers never sought recognition for what they did and that the descendants of the people they saved now number in the tens of thousands."
26da72cfd563728fc90c2a808a9c6f076fa4e815,train,"Thirty years after a nuclear apocalypse,[7] Eli travels on foot across the wasteland of the former United States. He demonstrates uncanny survival and fighting skills, such as hunting wildlife and defeating a group of marauders. Searching for water, he arrives in a ramshackle town ruled by a warlord named Carnegie, who seeks to control the people through the power of a certain book, which his henchmen have been unable to find.

Eli barters with a store owner, the Engineer, to recharge the battery of his portable music player. At the town bar, he is attacked by a gang of bikers but swiftly kills them all. Impressed, Carnegie invites Eli to join his employ, but Eli declines. Realizing Eli is a literate man like himself, Carnegie forces him to stay the night under guard. After Carnegie's blind mistress Claudia brings Eli food and water, Carnegie orders her daughter Solara to seduce Eli, but he rebuffs her. Solara sees Eli has a book, and he offers to share his food, saying grace before they eat. In the morning, Carnegie overhears Solara repeat the prayer to her mother, and realizes Eli has the book he has been seeking - a Bible.

Eli sneaks away, but Carnegie and his henchmen confront him in the street. When Eli refuses to give up the book, Carnegie orders him killed; the ensuing battle leaves Eli untouched, but many henchmen dead and Carnegie shot in the leg. Solara catches up to Eli and leads him to the town's water supply, hoping to accompany him on his travels, but he traps her inside and continues alone. Solara escapes and is ambushed by two bandits who attempt to rape her, but Eli reappears and kills them. Continuing toward the west coast, Eli explains his mission: his book is the last remaining copy of the Bible, as all other copies were intentionally destroyed following the nuclear war. He says that he was led to the book by a voice in his head, directing him to travel westward to a place it would be safe, and assuring that he would be protected and guided on his journey.

At an isolated house, Eli and Solara fall into a trap but manage to allay the suspicions of the residents, George and Martha, who invite them in for tea. Realizing that the couple are cannibals, Eli and Solara attempt to leave just as Carnegie and his men arrive. In the ensuing shootout, George, Martha, and many of Carnegie's men are killed, and Eli and Solara are captured. Threatening to kill Solara, Carnegie forces Eli to surrender the Bible before shooting him and leaving him for dead, departing with his caravan. Solara escapes, destroying one truck with a hand grenade and driving back in another to find Eli. With his remaining vehicle low on fuel, Carnegie returns to town.

Solara finds Eli, and they drive until they reach the Golden Gate Bridge, and row to Alcatraz Island, where they find a group intent on preserving what remains of literature and music. Eli tells the guards that he has a copy of the Bible. Taken inside, Eli is revealed to be blind, and dictates the New King James Version of the Bible from memory to Lombardi, the sanctuary's leader.[8][7]

In the town, the Engineer opens Eli's locked Bible, which Carnegie discovers is in Braille. Claudia, feigning ignorance of Braille, tells Carnegie that his leg wound has become infected and the loss of his enforcers has led the people to run amok. At the sanctuary, Eli has died, but not before reciting the entire book. A printing press begins producing copies of the Bible, and Lombardi places one on a bookshelf between the Tanakh and the Quran. Offered sanctuary on Alcatraz, Solara chooses instead to return home, taking up Eli's machete and other possessions."
b79b7aeeb9d4f4e390d606e9ee4ef3271b028731,train,"Dr. Reed Richards, a genius but timid and bankrupt physicist, is convinced that evolution was triggered millions of years ago on earth by clouds of cosmic energy in space, and has calculated that one of these clouds is soon going to pass near Earth. Together with his friend, the gruff yet gentle astronaut Ben Grimm, Reed convinces his equally brilliant but conceited MIT classmate Dr. Victor Von Doom, now CEO of Von Doom Industries, to allow him access to his privately owned space station to test the effects of exposure to the cloud on biological samples. Von Doom agrees, in exchange for control over the experiment and a majority of the profits from whatever benefits it brings. He brings aboard his beautiful chief genetics researcher (and Reed's ex-girlfriend from MIT) Susan Storm and her hot-headed brother Johnny Storm, a private astronaut who was Ben's subordinate at NASA but is his superior on the mission.

The quintet travels to space to observe the cosmic energy clouds, but Reed has miscalculated and the clouds materialize well ahead of schedule. Reed, Susan, and Johnny leave the shielded station to rescue Ben who has gone on a space-walk to place the samples, and Victor closes the shield behind them. Ben receives full exposure out in space, while the others receive a more limited dose within the station. They return home but soon begin to develop strange powers. Reed is able to stretch like rubber; Susan can become invisible and create force fields, especially when angered; Johnny can engulf himself in fire at temperatures in excess of 4000 K (erroneously described as supernova-like in the film), and is able to fly; and Ben is transformed into a large, rock-like creature with superhuman strength and durability. Victor meanwhile faces a backlash from his stockholders due to the publicity from the failed mission and has a scar on his face from an exploding control console he was near during the cloud's pass.

Ben returns home to see his fiancee Debbie, but she cannot handle his new appearance and flees. He goes to brood on Brooklyn Bridge and accidentally causes a traffic pile-up while stopping a man from committing suicide. The four use their various powers to contain the damage and prevent anyone from being hurt. While the public cheer them for their efforts, Ben sees his fiancee leave her engagement ring on the ground and run. Reed hands a heartbroken Ben the ring and vows to find a way to turn him back to normal. The media dubs them ""The Fantastic Four"" for their efforts. Victor watches the news story and is told that his company is lost now, the group's fame overriding the company's fate with the media. The four move into Reed's lab in the Baxter Building to study their abilities and find a way to return Ben to normal. Victor offers his support in their efforts but blames Reed for the mission's failure, the lights flickering as he grows enraged.

Reed tells the group he will construct a machine to re-create the storm and reverse its effect on their bodies, but warns it could possibly accelerate them instead. However, a reckless Johnny refuses to give up his powers and uses them to help him win extreme sports thus exposing Reed, Susan, and Ben's abilities to the public which leads to a small fight between him and Ben after making fun of them. Johnny claims that these new powers are a ""higher calling"". Meanwhile, Victor continues to mutate, his arm turning into an organic metal and allowing him to produce bolts of electricity, and he begins plotting to use his new powers to take his revenge. Victor drives a wedge between Ben and Reed, as the group's research has allowed him to rekindle his relationship with Susan. Reed and Ben argue, with Ben walking out in a rage. Susan later scolds Johnny on how he is using his powers just for showing off to gain popularity.  This motivates Reed to attempt the machine on himself, but he cannot generate the power needed to push the storm to critical mass. Victor hears Reed tell Susan this through security cameras and has Ben brought to the lab. Ben is placed in the machine and Doom uses his abilities to produce the electricity needed to power it, turning Ben back to normal and accelerating Doom's condition, causing much of his body to turn to metal. Victor knocks the human Ben unconscious and kidnaps Reed.

Victor--now calling himself ""Doom""--dons a metal mask to hide his physical disfigurations and incapacitates Reed using a super-cooling unit. Doom fires a heat-seeking missile at the Baxter Building to kill Johnny, and Johnny flies through the city to evade it, lighting a garbage barge on fire to trick it. Susan rushes to confront Doom as Ben begins to regret his decision to turn normal. Susan frees Reed and battles Doom but is outmatched - Ben arrives to save her, transformed into The Thing again by reusing the machine. The battle spills into the streets, and the four assemble to battle Doom. Johnny and Susan combine their powers to wrap Doom in an inferno of intense heat, and Ben and Reed douse him with cold water, inducing thermal shock and freezing Doom in place.

As an epilogue, Ben informs Reed that he has accepted his condition with the help of Alicia Masters, a blind artist for whom he has developed feelings, and the team decide to embrace their roles as superheroes and unite officially as the Fantastic Four. Reed proposes marriage to Susan, who accepts and they share a kiss. Meanwhile, Doom's statuesque remains are being transported back to his homeland of Latveria when the dockmaster's electronic manifest briefly experiences electronic interference."
76971e76743f5a4defedb9ef516560a323fc2eac,train,"3,000 years ago, a warlord named Yaotl opens a portal into a parallel universe. The portal's energies grant Yaotl and his four sibling generals immortality, but the generals are turned to stone. The portal also releases 13 immortal monsters that destroy his army and his enemies while becoming the famous mythical monsters of legend as centuries pass.

In the present, the Teenage Mutant Ninja Turtles have grown apart after defeating the Shredder; Master Splinter has sent Leonardo to Central America for training, where he protects a village from local bandits. Donatello works as an IT specialist, Michelangelo works as a birthday party entertainer called ""Cowabunga Carl"", and Raphael continues to fight crime at night as a masked vigilante known as the Nightwatcher, which he keeps a secret from his family and friends. The Turtles' old friend April O'Neil now operates a shipping company that locates and acquires relics for collectors, assisted by her boyfriend, Casey Jones.

April travels to Central America for work and finds Leo, telling him that his brothers have drifted apart. She returns to New York City with a statue for wealthy tycoon Max Winters. Leo also returns, and April and Casey deliver the statue to Winters. Winters hires Shredder's former second-in-command, Karai and her ninja Foot Clan to search the city for the 13 monsters before the portal opens again. Raph encounters Casey, who reveals his knowledge of Raph's double identity and joins him in hunting criminals. Winters, who is actually Yaotl, reanimates his four stone generals using technology created by his company.

Leo returns to the Turtles' sewer lair, reuniting with Splinter and his brothers. Splinter forbids the Turtles from fighting crime until they can act as a team again. While training, the Turtles encounter one of the 13 beasts, Bigfoot. The Turtles engage Bigfoot, going against Leonardo and Splinter's orders, and coming into conflict with the Foot Clan in the process. While the Turtles and Foot ninja fight, a fleeing Bigfoot is captured by the generals. The next day, Splinter sees a news report of the destruction left in the wake of the battle, and sharply reprimands his sons for disobeying him. Raphael later visits Casey, and they encounter Vampire Succubor, another of the monsters. They witness its capture by the Foot and the Stone Generals, but are spotted. Despite a successful escape, Raph is injured and knocked out. Casey takes Raph back to the apartment while April calls the other Turtles for help and realizes the identities of Yaotl and his generals. After being revived, Raph suggests they pursue Yaotl, but Leonardo forbids him to go until Splinter gives his permission. Raphael angrily quits the team and investigates alone.

Leo, Donnie and Mikey plan their next move, and Donatello discovers the next portal will open over Winters' tower. Splinter tells Leonardo that his team is incomplete, and that he knows what he must do. After 11 monsters have been captured, General Aguila questions Yaotl's plans for them and the portal. Yaotl reveals that he wishes to free his generals from their stone prisons, and break the curse that keeps them alive. The generals conspire to betray Yaotl, wanting to remain immortal. As the Nightwatcher, Raph encounters the Jersey Devil, one of the remaining monsters, but drives it off. Leo, not recognizing his brother, pursues the Nightwatcher across the city, believing him to be nothing but an arrogant thug. After a brief fight, Leo discovers that Raph is the Nightwatcher. The brothers argue about how much things have changed since Leo left. Another fight breaks out, but when Raph breaks Leo's swords and almost runs his brother through with his sais, he flees in a fit of guilt and shame. The generals seize a weakened Leo, intending to substitute him for the 13th missing beast, and Raph decides to make amends by rescuing Leo. As the portal opens, Yaotl discovers his generals' treachery, while Splinter and the Turtles, accompanied by Casey and April, fight their way through the Foot Clan cordon and breach the tower. Yaotl admits to the heroes that he only wants to send the monsters back to where they came from, and the generals reveal that they intend to use the portal to bring in more monsters to conquer the world.

Refusing to betray Yaotl in exchange for serving the Generals, Karai, April, Casey and the Foot Clan work together, searching for the final monster, the Sea Monster, while the Turtles fight the generals. Splinter and Yaotl fight off numerous monsters emerging from the portal. April, Casey, and Karai arrive at the tower with the Sea Monster. The Sea Monster crashes into the Generals, dragging them into the portal before it closes. Karai warns them to enjoy their victory while it lasts, cryptically claiming they will soon contend with faces from their past before vanishing. A now-mortal Yaotl honors Splinter and the Turtles, thanking them for fulfilling his wish before dissipating. Splinter places Yaotl's helmet among his trophy collection, as well as Raph's Nightwatcher helmet and Mikey's ""Cowabunga Carl"" head. As they return to their roles as the shadowy guardians of New York City, Raph says that the Turtles will always be brothers."
35592c2abea624d315c5171d67ab5e14794ca071,test,"Extreme sport athlete Johnny Utah (Luke Bracey), and his friend Jeff (Max Thieriot), are traversing a steep ridgeline on motorbikes. The run ends with a jump onto a lone stone column, where Jeff overshoots the landing and falls to his death.

Seven years later, Utah is an FBI agent candidate. He attends a briefing on a skyscraper heist, in which the criminals stole diamonds, escaping by parachute, in Mumbai. A similar heist happens over Mexico where the criminals unload millions of dollars in bills, then disappear into the Cave of Swallows. Utah's research concludes that they were done by the same men, who are attempting to complete the Ozaki 8, a list of eight extreme ordeals to honor the forces of nature. They have already completed three, and Utah predicts they'll attempt the fourth on a rare sea wave phenomenon in France. After presenting his analysis, Utah is sent undercover to France under a field agent named Pappas (Ray Winstone). They reach France and Utah gets help from others to surf the tall tube wave.

As he goes in, there is already another surfer riding the wave, leaving Utah unstable. Utah gets sucked into the wave and faints, but the other surfer bails and rescues Utah. He wakes aboard a yacht with the surfer, Bodhi (Edgar Ramirez), and his team Roach (Clemens Schick), Chowder (Tobias Santelmann), and Grommet (Matias Varela). They leave him to enjoy the party and he gets acquainted with a girl, Samsara (Teresa Palmer). The next day, Utah finds the men in an abandoned Paris train station after he overhears them talking about the location. Bodhi gives him an initiation fight and soon he is accepted into the circle. They travel to the Alps for the next ordeal: wingsuit flying through ""The Life of Wind"" cliffs. The four succeed in their attempt and spend some time together with Samsara. The next day, they climb the snow peaks for the sixth ordeal, snowboarding down a steep mountain of snow. They reach their spot, but Utah decides to extend his line, so the others follow him. Chowder slips and falls to his death, and Utah becomes depressed about it.

After a party, Samsara explains that she and Bodhi both knew Ono Ozaki when they were young, that her parents died in an avalanche accident and Ozaki gave her a home after. She explains further that Ozaki actually completed his third ordeal, despite what was widely believed. He did not die attempting the ordeal, but was actually killed by a whaling ship crashing into his boat while he was trying to save humpback whales. On his boat, a young boy, Bodhi, decided not to tell the truth of his story but to finish what Ozaki started.

Next they travel to a gold mine where Bodhi detonates explosives Grommet and Roach planted. After blowing his cover, Utah chases Bodhi, managing to trip his bike. Bodhi escapes because Utah cannot stand up after the crash. The FBI freezes Bodhi's sponsors' assets; Bodhi plans to rob a nearby Italian bank on a mountain top. Utah and the police intercept the group, resulting in a crossfire that kills Roach. As the group flees, Utah chases and shoots one of them to death, who is revealed to be Samsara and not Bodhi.

Utah finds the location of the next ordeal: free solo climbing with no safety beside Angel Falls in Venezuela. He finds Bodhi and Grommet and chases them on the climb, but Grommet falters, falling to his death. Utah catches up to Bodhi, but he falls backward down the waterfall, completing what would have been the last ordeal; Bodhi has to redo the fourth ordeal because he bailed out on the wave when he chose to save Johnny. Seventeen months later, Utah finds him in the Pacific facing another giant wave. As Utah tries to get Bodhi to come back with him and pay for his crimes, he eventually lets Bodhi attempt to surf it, both knowing that he will not come back. The wave engulfs Bodhi, and Utah continues his career in the FBI and begins going through his own eight ordeals."
